City,Temperature (F),Humidity,Windspeed (MPH),Cloudiness,Latitude
chuy,50.46,89.0,23.62,92.0,-33.69
ushuaia,46.4,52.0,8.05,0.0,-54.81
kaitangata,51.9,80.0,8.08,0.0,-46.28
brenham,84.2,66.0,4.7,1.0,30.17
naron,53.6,93.0,5.82,32.0,43.52
east london,57.93,100.0,11.99,80.0,-33.02
dikson,49.56,81.0,15.57,92.0,73.51
saint-augustin,56.39,100.0,2.71,20.0,44.83
kiunga,78.9,87.0,2.93,56.0,-6.12
clyde river,41.0,100.0,12.75,90.0,70.47
bambous virieux,66.2,82.0,8.63,40.0,-20.34
miandrivazo,52.35,71.0,2.48,0.0,-19.53
busselton,57.66,100.0,16.58,68.0,-33.64
sinnamary,81.24,95.0,10.76,20.0,5.38
cockburn town,81.42,100.0,13.22,20.0,21.46
rikitea,74.49,99.0,18.25,92.0,-23.12
hobart,62.6,39.0,26.4,75.0,-42.88
atuona,80.07,98.0,16.24,76.0,-9.8
bluff,72.69,23.0,7.74,0.0,-23.58
punta arenas,39.2,86.0,11.41,40.0,-53.16
samarai,78.63,99.0,14.34,0.0,-10.62
kalengwa,55.41,36.0,11.32,0.0,-13.47
butaritari,83.94,100.0,7.29,8.0,3.07
georgetown,77.0,94.0,4.7,0.0,6.8
tsogni,70.71,100.0,8.75,12.0,-2.79
maicao,83.85,73.0,18.59,0.0,11.38
mataura,51.9,84.0,5.39,0.0,-46.19
kotma,76.2,100.0,4.61,88.0,23.2
tsihombe,,,,,
kapaa,83.97,100.0,14.99,90.0,22.08
barentsburg,,,,,
husavik,69.9,83.0,2.48,0.0,50.56
hermanus,41.55,100.0,2.37,80.0,-34.42
provideniya,48.2,76.0,11.18,75.0,64.42
pevek,41.46,100.0,13.0,56.0,69.7
illoqqortoormiut,,,,,
yueyang,93.66,68.0,4.16,0.0,29.36
touros,73.41,100.0,11.21,100.0,-5.2
sioux lookout,75.2,50.0,5.82,40.0,50.1
lebu,50.28,86.0,2.59,76.0,8.96
hithadhoo,82.32,100.0,4.72,12.0,-0.6
carnarvon,30.75,91.0,11.65,12.0,-30.97
saint-philippe,71.55,83.0,10.29,90.0,45.36
kamen-rybolov,72.96,100.0,3.27,92.0,44.75
barahona,79.62,100.0,10.98,56.0,18.21
collie,51.54,92.0,8.86,76.0,-33.36
lamar,86.0,33.0,8.05,20.0,38.09
pozo colorado,43.89,77.0,2.93,0.0,-23.49
port hardy,69.8,60.0,13.87,20.0,50.7
ullapool,50.91,100.0,4.5,92.0,57.9
praia da vitoria,71.6,88.0,9.53,20.0,38.73
lagoa,71.6,49.0,6.93,0.0,37.14
port alfred,55.32,100.0,5.95,92.0,-33.59
barcelos,56.55,93.0,5.82,0.0,41.53
kodiak,77.0,78.0,3.94,1.0,39.95
taolanaro,,,,,
sabak,80.6,78.0,3.36,75.0,3.77
padang,82.23,100.0,2.59,48.0,-0.92
tumannyy,,,,,
monte cristi,,,,,
attawapiskat,,,,,
kenai,63.52,55.0,12.75,1.0,60.55
esperance,77.0,94.0,4.72,20.0,10.24
ribeira grande,73.32,100.0,8.3,88.0,38.52
ahuimanu,85.35,59.0,18.34,75.0,21.44
airai,83.4,46.0,1.59,0.0,-8.93
cap malheureux,66.2,82.0,14.45,40.0,-19.98
alofi,77.0,61.0,10.29,40.0,-19.06
chumikan,55.5,99.0,7.52,92.0,54.72
roald,57.2,87.0,11.41,92.0,62.58
tezpur,80.52,94.0,3.38,48.0,26.62
barrow,32.73,86.0,2.82,0.0,-38.31
norman wells,48.2,100.0,10.29,90.0,65.28
nikolskoye,68.0,72.0,6.71,0.0,59.7
purranque,46.4,87.0,6.93,90.0,-40.91
saint-pierre,55.56,93.0,5.82,0.0,48.95
simao,72.6,90.0,2.37,36.0,22.76
cape town,48.2,81.0,5.82,0.0,-33.93
hilo,75.87,88.0,10.29,90.0,19.71
puerto quijarro,58.56,69.0,6.4,0.0,-19.0
le vauclin,80.6,78.0,8.05,75.0,14.55
qaanaaq,37.41,94.0,0.92,92.0,77.48
kahului,78.28,94.0,10.65,75.0,20.89
kem,62.25,96.0,3.94,76.0,2.68
taltal,51.0,88.0,2.37,0.0,-25.41
sao joao da barra,75.48,94.0,25.19,24.0,-21.64
grand river south east,,,,,
puerto ayora,70.89,100.0,11.43,24.0,-0.74
harper,76.98,83.0,3.71,90.0,30.3
abu dhabi,97.81,25.0,6.93,68.0,24.47
albany,70.32,60.0,8.05,40.0,42.65
nome,80.58,83.0,3.36,1.0,30.04
katsuura,82.4,74.0,3.36,75.0,33.93
dunedin,50.1,80.0,2.82,0.0,-45.87
richards bay,58.65,98.0,11.65,36.0,-28.77
vaini,68.82,99.0,6.62,92.0,15.34
thompson,80.6,47.0,4.7,75.0,55.74
tiksi,59.82,75.0,4.16,0.0,71.64
port blair,80.16,100.0,23.4,88.0,11.67
beloha,65.85,79.0,16.13,0.0,-25.17
hendek,66.2,100.0,2.15,20.0,40.8
antofagasta,57.2,76.0,10.29,90.0,-23.65
chokurdakh,52.62,74.0,14.79,0.0,70.62
rioja,59.37,100.0,2.04,80.0,-6.06
srednekolymsk,58.65,55.0,5.17,0.0,67.46
tuktoyaktuk,42.8,75.0,16.11,75.0,69.44
baljevac,62.6,100.0,2.24,0.0,43.39
moroni,69.9,29.0,2.48,8.0,39.52
doha,93.2,79.0,6.93,20.0,25.29
ostrovnoy,55.59,100.0,18.48,92.0,68.05
port augusta,66.3,32.0,19.6,0.0,-32.49
dudinka,52.89,100.0,13.89,92.0,69.41
alta gracia,35.6,64.0,4.7,0.0,-31.66
khatanga,62.07,81.0,14.0,0.0,71.98
moyale,62.97,75.0,6.73,44.0,3.52
constitucion,69.8,52.0,12.75,75.0,23.99
nyurba,62.88,59.0,6.4,0.0,63.29
tehri,61.98,100.0,0.69,56.0,30.38
bredasdorp,39.2,93.0,10.09,92.0,-34.53
auray,51.8,93.0,12.33,0.0,47.67
ajmer,76.83,100.0,7.18,92.0,26.47
ahipara,56.58,88.0,4.83,44.0,-35.17
mizpe ramon,,,,,
ebebiyin,69.18,97.0,2.15,36.0,2.15
lazaro cardenas,84.2,35.0,13.87,75.0,28.39
hobyo,75.84,86.0,17.36,56.0,5.35
iringa,,,,,
cidreira,53.88,99.0,22.95,92.0,-30.17
faya,66.2,93.0,6.06,5.0,18.39
indiana,70.14,94.0,4.5,75.0,40.62
port elizabeth,81.0,78.0,6.29,1.0,39.31
banaue,74.4,90.0,2.15,92.0,16.91
ulcinj,75.02,57.0,3.36,0.0,41.93
qaqortoq,46.4,81.0,4.7,92.0,60.72
galiwinku,,,,,
lompoc,75.42,24.0,6.93,1.0,34.64
fortuna,75.18,94.0,1.12,0.0,38.18
vaitupu,,,,,
bandarbeyla,79.53,87.0,32.23,24.0,9.49
anju,84.48,87.0,9.86,0.0,39.62
hasaki,88.5,70.0,10.29,20.0,35.73
aflu,,,,,
castro,45.6,100.0,3.6,100.0,-42.48
jamestown,63.15,34.0,22.73,0.0,-33.21
kawambwa,60.99,44.0,4.72,0.0,-9.8
yellowknife,68.0,56.0,4.7,20.0,62.45
ballstad,,,,,
valparaiso,73.63,88.0,4.7,75.0,41.47
sringeri,77.0,94.0,6.93,75.0,13.43
salalah,77.0,100.0,5.82,90.0,17.01
majene,82.95,95.0,13.22,88.0,-3.54
hualmay,53.34,98.0,5.84,44.0,-11.1
longyearbyen,42.8,87.0,11.41,75.0,78.22
jiazi,86.0,84.0,6.71,40.0,19.61
cairns,78.8,36.0,19.46,20.0,-16.92
belushya guba,,,,,
sabang,84.12,83.0,18.48,92.0,13.72
aksarayskiy,66.2,48.0,11.18,0.0,46.79
severomorsk,53.6,87.0,6.71,75.0,69.07
grindavik,48.2,76.0,3.36,90.0,63.84
moche,62.6,88.0,8.05,90.0,-8.17
huron,77.27,64.0,6.93,1.0,44.36
batemans bay,62.25,65.0,8.52,12.0,-35.71
mehriz,73.4,17.0,1.14,0.0,31.58
torbay,55.4,93.0,12.75,90.0,47.66
buariki,,,,,
klyuchi,82.86,34.0,8.86,0.0,52.25
arraial do cabo,73.05,87.0,8.63,20.0,-22.97
ankpa,70.26,99.0,4.16,92.0,7.37
ancud,46.95,98.0,3.71,92.0,-41.87
keuruu,63.48,100.0,4.7,0.0,62.26
praya,84.2,66.0,13.87,40.0,-8.71
erdaojiang,80.88,63.0,4.38,0.0,41.78
ponta do sol,57.12,90.0,4.05,24.0,-20.63
